Region,NbMoisService,Age,StatutMarital,Adresse,Revenu,education,NbAnneesEmployeur,Retraite,Sexe,TailleFoyer,ServiceNumVert,LocMateriel,ServiceCarteAppel,ServiceSansFil,Internet,AffichageNumAppel,DoubleAppel,TransfertAppel,ConfTel,PaieElectronique,CatClient,Churn
Zone 2,13,44,Marie(e),9,64,Bac +2/3,5,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Oui,Non,Non,Service basic,Oui
Zone 3,11,33,Marie(e),7,136,Bac +4/5,5,Non,Homme,6,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Oui
Zone 3,68,52,Marie(e),24,116,Inf au bac,29,Non,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 2,33,33,Non marie(e),12,33,Niveau Bac,0,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 2,23,30,Marie(e),9,30,Inf au bac,2,Non,Homme,4,Non,Non,Non,Non,Aucun,Oui,Non,Oui,Oui,Non,Service plus,Non
Zone 2,41,39,Non marie(e),17,78,Niveau Bac,16,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Non,Non,Non,Service plus,Non
Zone 3,45,22,Marie(e),2,19,Niveau Bac,4,Non,Femme,5,Non,Non,Oui,Non,Dial-up,Non,Oui,Non,Non,Oui,Service electronique,Oui
Zone 2,38,35,Non marie(e),5,76,Niveau Bac,10,Non,Homme,3,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,45,59,Marie(e),7,166,Bac +2/3,31,Non,Homme,5,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,68,41,Marie(e),21,72,Inf au bac,22,Non,Homme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,5,33,Non marie(e),10,125,Bac +2/3,5,Non,Femme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 3,7,35,Non marie(e),14,80,Niveau Bac,15,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,41,38,Marie(e),8,37,Niveau Bac,9,Non,Femme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,57,54,Marie(e),30,115,Bac +2/3,23,Non,Femme,3,Oui,Oui,Non,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 2,9,46,Non marie(e),3,25,Inf au bac,8,Non,Femme,2,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,29,38,Marie(e),12,75,Bac +4/5,1,Non,Homme,4,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,60,57,Non marie(e),38,162,Niveau Bac,30,Non,Homme,1,Oui,Oui,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,34,48,Non marie(e),3,49,Niveau Bac,6,Non,Femme,3,Oui,Non,Non,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,1,24,Non marie(e),3,20,Inf au bac,3,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,26,29,Marie(e),3,77,Bac +2/3,2,Non,Homme,4,Non,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 3,6,30,Non marie(e),7,16,Bac +2,1,Non,Femme,1,Non,Oui,Non,Oui,Dial-up,Non,Oui,Non,Non,Non,Service electronique,Oui
Zone 1,68,52,Marie(e),17,120,Inf au bac,24,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Oui,Non,Non,Service basic,Non
Zone 3,53,33,Non marie(e),10,101,Bac +4/5,4,Non,Femme,2,Non,Oui,Oui,Oui,Dial-up,Non,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,55,48,Marie(e),19,67,Inf au bac,25,Non,Homme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,14,43,Marie(e),18,36,Inf au bac,5,Non,Homme,5,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,1,21,Non marie(e),0,33,Niveau Bac,0,Non,Femme,3,Oui,Non,Oui,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,42,40,Non marie(e),7,37,Niveau Bac,8,Non,Femme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Non,Oui,Oui,Service Total,Non
Zone 3,25,33,Marie(e),11,31,Inf au bac,5,Non,Homme,4,Non,Non,Non,Non,Aucun,Oui,Non,Oui,Non,Non,Service plus,Non
Zone 1,9,21,Marie(e),1,17,Niveau Bac,2,Non,Femme,3,Non,Non,Non,Non,Aucun,Oui,Non,Non,Non,Non,Service basic,Non
Zone 2,13,33,Marie(e),9,19,Bac +2/3,0,Non,Femme,2,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Oui,Oui,Service electronique,Non
Zone 1,56,37,Marie(e),6,36,Inf au bac,13,Non,Femme,2,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,71,53,Marie(e),27,155,Bac +4/5,12,Non,Homme,2,Oui,Non,Oui,Oui,Dial-up,Non,Non,Oui,Oui,Oui,Service Total,Non
Zone 1,35,50,Marie(e),26,140,Niveau Bac,21,Non,Femme,4,Oui,Non,Oui,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,11,27,Marie(e),8,55,Bac +4/5,0,Non,Homme,3,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,60,46,Marie(e),13,163,Bac +2,24,Non,Homme,2,Oui,Oui,Oui,Oui,Dial-up,Non,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,20,35,Marie(e),11,52,Bac +2/3,0,Non,Homme,2,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 2,54,60,Non marie(e),38,211,Bac +2/3,25,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Non,Non,Oui,Oui,Service Total,Non
Zone 1,44,57,Marie(e),1,186,Niveau Bac,17,Non,Homme,2,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,11,41,Marie(e),0,39,Inf au bac,1,Non,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 2,72,57,Non marie(e),34,22,Niveau Bac,35,Oui,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,10,41,Non marie(e),7,30,Inf au bac,7,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,15,28,Non marie(e),0,29,Niveau Bac,4,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,27,28,Marie(e),4,23,Niveau Bac,8,Non,Homme,5,Non,Non,Non,Non,Aucun,Oui,Non,Non,Non,Non,Service basic,Non
Zone 1,9,36,Marie(e),14,62,Bac +2/3,10,Non,Homme,6,Non,Oui,Non,Oui,Dial-up,Non,Non,Non,Oui,Oui,Service Total,Oui
Zone 1,64,43,Marie(e),20,76,Bac +2/3,20,Non,Femme,4,Oui,Non,Oui,Non,Aucun,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 1,65,41,Marie(e),3,74,Bac +2/3,16,Non,Homme,2,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,49,51,Marie(e),27,63,Bac +2/3,19,Non,Homme,5,Oui,Non,Oui,Non,Dial-up,Non,Oui,Non,Non,Oui,Service electronique,Non
Zone 3,47,41,Marie(e),0,36,Bac +2/3,8,Non,Homme,2,Non,Oui,Oui,Oui,Dial-up,Non,Oui,Non,Oui,Oui,Service Total,Oui
Zone 3,9,34,Marie(e),9,33,Niveau Bac,8,Non,Femme,4,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 1,5,36,Non marie(e),14,29,Niveau Bac,9,Non,Femme,1,Oui,Non,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service plus,Oui
Zone 2,30,34,Marie(e),4,27,Niveau Bac,1,Non,Homme,5,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Non,Service basic,Oui
Zone 1,56,52,Marie(e),28,49,Niveau Bac,12,Non,Homme,4,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,10,22,Non marie(e),0,24,Bac +2/3,0,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 1,7,26,Marie(e),3,26,Niveau Bac,2,Non,Homme,5,Oui,Non,Non,Non,Aucun,Non,Oui,Non,Non,Non,Service basic,Non
Zone 1,52,27,Non marie(e),6,47,Bac +2,5,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Non,Non,Non,Oui,Service basic,Non
Zone 2,36,45,Marie(e),1,94,Niveau Bac,18,Non,Femme,5,Oui,Oui,Non,Non,Dial-up,Oui,Non,Non,Oui,Non,Service basic,Oui
Zone 3,27,34,Non marie(e),8,21,Bac +2,4,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,58,62,Marie(e),36,27,Inf au bac,0,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
